Hakasija	Chakassië
Ingušetija	Ingoesjetië
Jakutija	Jakoetië
Kabardino-Balkarija	Kabardië-Balkarië
Kalmykija	Kalmukkië
Karačaevo-Čerkesija	Karatsjaj-Tsjerkessië
Mordovija	Mordovië
Severnaja Osetija	Noord-Ossetië
Udmurtija	Oedmoertië
Sankt-Peterburg	Sint-Petersburg
Tatarstan	Tartarije/Tatarije/Tatarstan
Tuva	Toeva
Čečnja	Tsjetsjenië
Čuvašija	Tsjoevasjië
Rossija	Rusland
Rossijskaja Federacija	Russische Federatie
Moskva	Moskou
Amur	Amoer
zaliv Petra Velikogo	Baai van Peter de Grote
Barencevo more	Barentszzee
Baškortostan	Basjkirostan
Beringov proliv	Beringstraat
Beringovo more	Beringzee
Burjatskaja respublika	Boerjatië
Burjatija respublika	Boerjatië
Hakasskaja respublika	Chakassië
Predkavkaz’e	Ciskaukasië
Èl’brus	Elbroes
Finskij zaliv	Finse Golf
zemlja Franca Josifa	Frans Jozefland
Anadyrskij zaliv	Golf van Anadyr
Groznyj	Grozny
Ingušskaja respublika	Ingoesjetië
Irkutsk	Irkoetsk
Jakutskaja Respublika	Jakoetië
Respublika Saha	Republiek Sacha
Janskij zaliv	Janabaai
Ekaterinburg	Jekaterinenburg
Kabardino-Balkarskaja respublika	Kabardië-Balkarië
Kalmyckaja respublika	Kalmukkië
poluostrov Kamčatka	Kamtsjatka
Kamčatka	Kamtsjatka
Karačaevo-Čerkesskaja respublika	Karatsjaj-Tsjerkessië
Karskoe more	Karazee
Karelija	Karelië
proliv Karskie Vorota	Karische Poort
Karskie Vorota	Karische Poort
Prikaspijskaja nizmennost’	Kaspische Laagte
Kaspijskoe more	Kaspische Zee
Kavkaz	Kaukasus
Kuril’skie ostrova	Koerilen
Kurskij zaliv	Koerse Haf
Kurskaja kosa	Koerse Schoorwal
Kol’skij poluostrov	Kola
Korjakskij nacional’nyj okrug	Korjakië
Ladožskoe ozero	Ladogameer
more Laptevyh	Laptevzee
Mahačkala	Machatsjkala
Sredne-Sibirskoe ploskogor’e	Midden-Siberisch Bergland
Murmanskij bereg	Moermankust
Murmansk	Moermansk
Mordovskaja respublika	Mordovië
Novosibirskie ostrova	Nieuw-Siberische Eilanden
Severo-Osetinskaja respublika	Noord-Ossetië
Severnye uvaly	Noord-Russische Rug
Severnaja zemlja	Noordland
Novaja Zemlja	Nova Zembla
Obskaja guba	Obboezem
Udmurtskaja respublika	Oedmoertië
Ural	Oeral
Onežskoje ozero	Onegameer
Vostočno-Sibirskoe more	Oost-Siberische Zee
Čudskoje ozero	Peipusmeer
Pečorskaja guba	Petsjorabaai
Vostočno-Evropejskaja ravnina	Russisch Laagland
Sibir’	Siberië
Sankt Peterburg	Sint-Petersburg
zaliv Šelihova	Sjelichovbaai
Soči	Sotsji
proliv Longa	Straat De Long
proliv Jugorskij Šar	Straat Joegor
Pervyj Kuril’skij proliv	Straat Koerilen
proliv Laperuza	Straat La Pérouse
Tatarstan respublika	Tartarije/Tatarije/Tatarstan
Tatarskij proliv	Tatarensont
Timanskij krjaž	Timanrug
Tuvinskaja respublika	Toeva
Čečenskaja respublika	Tsjetsjenië
Čukotskij poluostrov	Tsjoektsjenschiereiland
Čukotskoe more	Tsjoektsjenzee
Čuvašskaja respublika	Tsjoevasjië
Valdajskaja vozvyšennost’	Waldajhoogte
Zapadno-Sibirskaja ravnina	West-Siberisch Laagland
Zapadno-Sibirskaja nizmennost‘	West-Siberisch Laagland
Zapadnaja Dvina	Westelijke Dvina
Beloe more	Witte Zee
Volga	Wolga
Privolžskaja vozvyšennost’	Wolgaplateau
Azovskoe more	Zee van Azov
Ohotskoe more	Zee van Ochotsk
Har’kov	Charkov
Dnepr	Dnjepr
Dnepropetrovsk	Dnjepropetrovsk
Donbass	Donetsbekken
Kiev	Kiev
Krym	Krim
Sevastopol’	Sebastopol
